CustomerID,CustomerName,Age,Gender,City,ProductCategory,Price,Quantity,OrderDate,PaymentMode,Rating,SignupChannel,TotalAmount
CUST1011,Pooja Sharma,61,Female,Jaipur,Books,19249.68,1,2025-02-27,UPI,3,Website,19249.68
CUST1170,Aman Kulkarni,39,Male,Bangalore,Books,15310.4,1,2025-05-07,Net Banking,4,Referral,15310.4
CUST1049,Sanjay Sharma,23,Female,Unknown,Toys,4665.97,1,2025-07-14,Cash On Delivery,4,Referral,4665.97
CUST1407,Ishaan Malhotra,49,Unknown,Bangalore,Beauty,19665.52,1,2025-05-09,Credit Card,4,Website,19665.52
CUST1461,Sanjay Reddy,45,Male,Pune,Toys,13624.51,1,2025-01-12,Cash On Delivery,3,Referral,13624.51
CUST1343,Dev Bose,48,Unknown,Delhi,Grocery,18302.79,1,2025-02-23,Credit Card,4,Website,18302.79
CUST1348,Yash Nair,36,Female,Unknown,Electronics,17311.28,1,2025-04-15,Credit Card,5,Website,17311.28
CUST1557,Priya Nair,59,Female,Mumbai,Home & Kitchen,3589.38,1,2025-05-03,Debit Card,4,Unknown,3589.38
CUST1537,Diya Pillai,43,Female,Mumbai,Home & Kitchen,10741.35,1,2025-12-14,Credit Card,2,Unknown,10741.35
CUST1499,Anjali Bose,26,Male,Kolkata,Clothing,8247.86,3,2025-02-06,Cash On Delivery,4,App,24743.58
CUST1046,Arjun Kulkarni,47,Male,Hyderabad,Sports,9828.5,1,2025-10-27,Credit Card,4,Website,9828.5
CUST1448,Vikram Verma,38,Male,Delhi,Beauty,12634.68,1,2025-03-20,UPI,4,App,12634.68
CUST1556,Aryan Mehta,65,Male,Bangalore,Beauty,22216.25,1,2025-07-16,Cash On Delivery,1,Referral,22216.25
CUST1098,Ritika Reddy,26,Male,Delhi,Grocery,2881.67,1,2025-01-14,Credit Card,5,App,2881.67
CUST1181,Rahul Joshi,62,Male,Bangalore,Clothing,11715.07,1,2025-07-27,Net Banking,2,Unknown,11715.07
CUST1234,Dev Chopra,53,Female,Ahmedabad,Sports,17164.71,2,2025-12-30,Cash On Delivery,3,Website,34329.42
CUST1339,Yash Menon,56,Female,Bangalore,Beauty,17940.45,1,2025-02-19,Cash On Delivery,1,Referral,17940.45
CUST1216,Sneha Rao,49,Male,Delhi,Sports,7007.65,1,2025-05-09,Credit Card,5,App,7007.65
CUST1437,Meera Menon,63,Male,Hyderabad,Toys,23220.83,1,2025-02-10,Credit Card,5,App,23220.83
CUST1465,Aarav Joshi,23,Female,Jaipur,Toys,17843.68,1,2025-04-05,Cash On Delivery,4,App,17843.68
CUST1038,Nikhil Kapoor,53,Female,Kolkata,Sports,16981.35,1,2025-11-12,Net Banking,4,App,16981.35
CUST1059,Sneha Singh,43,Male,Bangalore,Beauty,11910.52,2,2025-06-26,Credit Card,5,Unknown,23821.04
CUST1128,Ishaan Menon,28,Male,Kolkata,Beauty,16957.62,1,2025-08-16,Net Banking,4,App,16957.62
CUST1515,Anjali Sharma,36,Male,Delhi,Clothing,21308.41,1,2025-10-05,Net Banking,5,Referral,21308.41
CUST1210,Aryan Kulkarni,39,Unknown,Mumbai,Grocery,19793.88,3,2025-02-10,Credit Card,1,Website,59381.64
CUST1125,Nikhil Chopra,43,Female,Mumbai,Books,14039.21,3,2025-06-18,Debit Card,4,App,42117.63
CUST1032,Tanya Nair,44,Female,Mumbai,Beauty,19592.3,2,2025-12-09,Cash On Delivery,5,App,39184.6
CUST1284,Ishaan Sharma,43,Female,Unknown,Electronics,4674.73,1,2025-10-11,Debit Card,4,App,4674.73
CUST1143,Aman Menon,63,Female,Mumbai,Toys,8885.94,1,2025-06-30,UPI,5,Unknown,8885.94
CUST1433,Aman Kapoor,34,Male,Ahmedabad,Electronics,19431.56,2,2025-07-14,UPI,1,App,38863.12
CUST1374,Aditya Rao,41,Male,Bangalore,Home & Kitchen,13019.45,1,2025-07-04,Cash On Delivery,4,Website,13019.45
CUST1358,Diya Nair,52,Male,Bangalore,Clothing,5387.92,3,2025-04-20,UPI,2,App,16163.76
CUST1132,Aryan Joshi,19,Male,Kolkata,Beauty,6009.09,1,2025-11-07,Credit Card,5,Website,6009.09
CUST1398,Priya Desai,52,Female,Unknown,Books,6319.2,1,2025-07-24,Credit Card,2,App,6319.2
CUST1588,Aditya Iyer,55,Male,Hyderabad,Home & Kitchen,24111.96,1,2025-03-10,Debit Card,4,App,24111.96
CUST1318,Ananya Menon,45,Female,Kolkata,Toys,9675.41,1,2025-01-10,Credit Card,1,Referral,9675.41
CUST1360,Ishaan Rao,53,Male,Unknown,Home & Kitchen,22788.02,2,2025-07-18,UPI,4,Referral,45576.04
CUST1429,Yash Gupta,33,Female,Mumbai,Beauty,23281.59,1,2025-11-17,Credit Card,5,Unknown,23281.59
CUST1487,Kavya Mehta,40,Female,Chennai,Electronics,8577.94,2,2025-11-17,UPI,4,App,17155.88
CUST1416,Sara Rao,53,Female,Mumbai,Grocery,14832.15,2,2025-11-20,UPI,4,Unknown,29664.3
CUST1156,Rahul Sharma,49,Male,Bangalore,Books,12151.18,1,2025-12-17,Net Banking,4,Website,12151.18
CUST1273,Aman Reddy,23,Male,Bengaluru,Toys,1408.35,2,2025-08-10,UPI,4,Website,2816.7
CUST1458,Vikram Bhat,53,Male,Hyderabad,Books,8439.21,2,2025-03-22,Credit Card,5,Referral,16878.42
CUST1377,Tanya Pillai,56,Male,Delhi,Toys,4265.3,1,2025-09-21,Net Banking,4,App,4265.3
CUST1366,Rahul Kulkarni,22,Female,Mumbai,Books,2590.33,3,2025-10-25,Credit Card,5,App,7770.99
CUST1054,Pooja Malhotra,60,Male,Jaipur,Beauty,464.41,2,2025-08-09,UPI,5,Unknown,928.82
CUST1538,Sanjay Kulkarni,26,Unknown,Delhi,Home & Kitchen,19141.06,2,2025-03-30,Debit Card,2,Referral,38282.12
CUST1452,Neha Malhotra,41,Female,Pune,Beauty,14907.85,1,2025-06-06,Credit Card,4,App,14907.85
CUST1493,Pooja Mehta,46,Male,Delhi,Grocery,6949.88,1,2025-11-15,Debit Card,4,App,6949.88
CUST1178,Aman Rao,30,Male,Delhi,Toys,16259.89,3,2025-06-04,Credit Card,5,App,48779.67
CUST1285,Arjun Gupta,33,Male,Delhi,Clothing,20568.3,3,2025-11-24,Credit Card,4,Website,61704.9
CUST1135,Neha Menon,47,Male,Unknown,Toys,14978.97,1,2025-11-20,Cash On Delivery,3,Referral,14978.97
CUST1451,Sanjay Patel,43,Female,Jaipur,Home & Kitchen,6171.53,1,2025-08-09,Debit Card,2,Unknown,6171.53
CUST1311,Aarav Pillai,36,Female,Kolkata,Sports,18457.79,2,2025-12-29,Cash On Delivery,5,Unknown,36915.58
CUST1104,Simran Iyer,38,Male,Bangalore,Books,9451.38,1,2025-12-18,Debit Card,2,Website,9451.38
CUST1361,Aarav Chopra,61,Male,Bengaluru,Clothing,18935.62,2,2025-01-24,Debit Card,5,App,37871.24
CUST1109,Simran Sharma,23,Female,Kolkata,Sports,11423.1,1,2025-07-09,Credit Card,2,Website,11423.1
CUST1195,Sara Verma,53,Female,Jaipur,Grocery,9802.21,1,2025-04-15,Debit Card,4,Referral,9802.21
CUST1492,Diya Desai,60,Male,Lucknow,Books,16025.44,1,2025-06-14,Cash On Delivery,5,Referral,16025.44
CUST1271,Karan Bhat,53,Female,Mumbai,Toys,2682.4,1,2025-03-13,Credit Card,1,App,2682.4
CUST1133,Dev Mehta,27,Male,Chennai,Toys,17447.39,1,2025-12-28,Cash On Delivery,1,Website,17447.39
CUST1047,Aarav Joshi,37,Unknown,Unknown,Sports,13524.78,3,2025-10-07,Cash On Delivery,4,App,40574.34
CUST1391,Neha Gupta,22,Female,Pune,Clothing,15284.37,3,2025-07-16,Net Banking,1,App,45853.11
CUST1411,Ananya Nair,58,Female,Bangalore,Sports,21245.18,1,2025-10-02,Credit Card,4,Referral,21245.18
CUST1108,Ishaan Rao,62,Male,Pune,Electronics,4657.93,1,2025-10-17,UPI,2,App,4657.93
CUST1015,Neha Patel,52,Female,Chennai,Sports,24879.46,3,2025-07-11,Cash On Delivery,2,App,74638.38
CUST1215,Aarav Kapoor,44,Unknown,Mumbai,Home & Kitchen,14363.22,1,2025-12-17,UPI,3,Referral,14363.22
CUST1561,Nikhil Reddy,49,Unknown,Hyderabad,Electronics,7435.26,3,2025-05-10,Cash On Delivery,5,Website,22305.78
CUST1062,Sneha Sharma,63,Female,Chennai,Electronics,24361.23,2,2025-05-30,UPI,4,Website,48722.46
CUST1357,Sneha Sharma,51,Male,Delhi,Toys,12247.1,1,2025-11-30,Credit Card,4,Website,12247.1
CUST1476,Kavya Pillai,47,Female,Mumbai,Electronics,6231.12,2,2025-05-23,Cash On Delivery,1,App,12462.24
CUST1160,Aman Pillai,37,Male,Mumbai,Sports,12710.29,1,2025-04-21,Credit Card,1,Website,12710.29
CUST1138,Priya Singh,64,Unknown,Lucknow,Beauty,3465.23,1,2025-10-07,UPI,4,Unknown,3465.23
CUST1455,Kabir Kulkarni,51,Male,Ahmedabad,Grocery,17422.52,3,2025-01-10,Credit Card,5,App,52267.56
CUST1074,Rohan Kulkarni,26,Female,Mumbai,Toys,3167.44,3,2025-08-11,UPI,5,App,9502.32
CUST1510,Anjali Sharma,54,Unknown,Mumbai,Home & Kitchen,17846.43,1,2025-07-30,Credit Card,1,Website,17846.43
CUST1176,Sanjay Singh,52,Female,Kolkata,Grocery,23357.98,1,2025-07-23,UPI,5,Website,23357.98
CUST1304,Vivaan Joshi,63,Male,Pune,Toys,12702.39,3,2025-03-05,Credit Card,4,Referral,38107.17
CUST1068,Pooja Singh,59,Male,Unknown,Grocery,1924.53,1,2025-06-07,Net Banking,4,Website,1924.53
CUST1189,Simran Singh,18,Male,Ahmedabad,Sports,13368.55,1,2025-04-28,Cash On Delivery,5,App,13368.55
CUST1112,Karan Menon,21,Female,Chennai,Home & Kitchen,19218.64,1,2025-05-11,Credit Card,2,Website,19218.64
CUST1124,Kavya Chopra,36,Female,Unknown,Grocery,8434.05,2,2025-06-12,Credit Card,5,Unknown,16868.1
CUST1269,Pooja Joshi,31,Male,Ahmedabad,Books,21334.18,1,2025-03-22,Net Banking,1,App,21334.18
CUST1478,Diya Malhotra,29,Female,Chennai,Grocery,24162.39,3,2025-10-24,Credit Card,2,Referral,72487.17
CUST1236,Diya Bose,25,Unknown,Jaipur,Beauty,13619.78,1,2025-01-22,Cash On Delivery,4,App,13619.78
CUST1324,Rohan Pillai,62,Female,Mumbai,Electronics,7632.74,3,2025-02-21,Net Banking,3,Website,22898.22
CUST1272,Ananya Patel,43,Female,Bangalore,Clothing,14620.75,1,2025-08-02,Debit Card,4,Unknown,14620.75
CUST1103,Neha Iyer,62,Unknown,Bangalore,Home & Kitchen,10837.24,1,2025-07-31,Cash On Delivery,4,Website,10837.24
CUST1233,Riya Kapoor,26,Male,Unknown,Toys,15542.34,1,2025-03-07,Cash On Delivery,3,App,15542.34
CUST1371,Kabir Verma,53,Male,Jaipur,Toys,16399.62,1,2025-07-07,Cash On Delivery,5,App,16399.62
CUST1513,Yash Sharma,48,Male,Ahmedabad,Beauty,10612.25,1,2025-05-31,UPI,1,Unknown,10612.25
CUST1335,Aryan Menon,21,Female,Delhi,Toys,21319.0,1,2025-03-26,Cash On Delivery,5,App,21319.0
CUST1439,Diya Iyer,64,Male,Kolkata,Home & Kitchen,4949.02,3,2025-05-08,UPI,4,Unknown,14847.06
CUST1092,Kavya Rao,55,Unknown,Bangalore,Beauty,2842.4,1,2025-08-30,Credit Card,4,Unknown,2842.4
CUST1117,Diya Desai,50,Unknown,Pune,Beauty,18225.37,1,2025-11-27,Cash On Delivery,2,App,18225.37
CUST1316,Ritika Reddy,26,Male,Kolkata,Toys,3709.12,1,2025-03-04,Cash On Delivery,5,Unknown,3709.12
CUST1107,Ritika Iyer,40,Male,Mumbai,Books,14416.39,1,2025-08-08,Credit Card,5,Website,14416.39
CUST1207,Karan Kulkarni,48,Female,Bengaluru,Grocery,2204.75,1,2025-08-11,Credit Card,2,App,2204.75
CUST1028,Pooja Reddy,35,Male,Hyderabad,Beauty,5209.39,3,2025-05-16,Cash On Delivery,5,Website,15628.17
CUST1347,Simran Kulkarni,36,Unknown,Bengaluru,Clothing,778.01,1,2025-01-28,Credit Card,4,Referral,778.01
CUST1137,Pooja Desai,50,Male,Kolkata,Toys,1231.83,2,2025-07-11,Credit Card,5,Website,2463.66
CUST1044,Yash Singh,58,Unknown,Delhi,Toys,15724.7,1,2025-08-14,Net Banking,4,Referral,15724.7
CUST1193,Rohan Verma,43,Female,Delhi,Sports,13962.89,1,2025-06-26,UPI,4,Referral,13962.89
CUST1393,Vivaan Joshi,33,Female,Mumbai,Books,19524.87,1,2025-12-09,UPI,4,App,19524.87
CUST1325,Dev Iyer,43,Male,Chennai,Clothing,19651.29,2,2025-04-12,Cash On Delivery,5,App,39302.58
CUST1230,Rahul Mehta,56,Male,Kolkata,Clothing,8795.93,1,2025-08-23,UPI,5,App,8795.93
CUST1551,Meera Bose,43,Male,Kolkata,Electronics,1145.46,2,2025-09-16,UPI,4,Website,2290.92
CUST1292,Aarav Patel,28,Male,Ahmedabad,Clothing,7812.58,2,2025-08-30,Net Banking,2,Unknown,15625.16
CUST1383,Kavya Malhotra,43,Male,Delhi,Toys,22554.96,2,2025-01-20,Debit Card,2,Website,45109.92
CUST1225,Riya Iyer,36,Male,Mumbai,Grocery,8805.97,1,2025-08-22,Cash On Delivery,5,Website,8805.97
CUST1473,Nikhil Chopra,64,Male,Delhi,Sports,13826.1,1,2025-03-29,UPI,3,App,13826.1
CUST1122,Tanya Mehta,63,Male,Bangalore,Grocery,1122.68,3,2025-08-13,UPI,5,Referral,3368.04
CUST1205,Sara Iyer,51,Female,Hyderabad,Books,20408.08,1,2025-07-23,Credit Card,4,Website,20408.08
CUST1029,Aditya Malhotra,35,Male,Pune,Grocery,15982.27,1,2025-03-24,Cash On Delivery,4,Unknown,15982.27
CUST1130,Vikram Malhotra,28,Unknown,Lucknow,Grocery,21844.1,1,2025-11-25,Credit Card,4,Website,21844.1
CUST1252,Anjali Desai,30,Male,Bangalore,Electronics,19627.47,1,2025-05-03,UPI,2,App,19627.47
CUST1519,Riya Kapoor,48,Female,Kolkata,Sports,11943.55,1,2025-09-29,Credit Card,5,Website,11943.55
CUST1265,Aarav Chopra,65,Male,Hyderabad,Home & Kitchen,10582.42,1,2025-03-14,Net Banking,2,Website,10582.42
CUST1041,Riya Menon,22,Female,Bangalore,Home & Kitchen,18000.9,2,2025-09-11,Cash On Delivery,3,Unknown,36001.8
CUST1480,Neha Desai,31,Male,Bengaluru,Clothing,14348.47,3,2025-09-28,Cash On Delivery,5,Website,43045.41
CUST1319,Yash Desai,30,Female,Bengaluru,Home & Kitchen,5772.7,1,2025-09-06,Debit Card,4,App,5772.7
CUST1017,Aryan Verma,39,Male,Hyderabad,Books,16774.1,1,2025-04-10,Cash On Delivery,4,Website,16774.1
CUST1009,Meera Kulkarni,52,Female,Lucknow,Sports,22460.9,2,2025-05-07,UPI,4,Website,44921.8
CUST1331,Aryan Nair,25,Female,Mumbai,Electronics,24541.99,1,2025-03-23,UPI,4,App,24541.99
CUST1294,Sanjay Verma,27,Male,Bangalore,Beauty,20233.28,2,2025-10-29,Credit Card,4,App,40466.56
CUST1322,Ananya Patel,64,Male,Jaipur,Grocery,3210.58,3,2025-11-30,UPI,5,App,9631.74
CUST1340,Priya Kapoor,53,Male,Mumbai,Clothing,1287.59,1,2025-10-09,UPI,2,Referral,1287.59
CUST1171,Yash Kapoor,63,Female,Mumbai,Toys,8028.46,1,2025-10-14,Net Banking,5,Website,8028.46
CUST1341,Anjali Patel,30,Unknown,Kolkata,Home & Kitchen,11507.59,1,2025-04-08,Credit Card,2,Website,11507.59
CUST1334,Vikram Menon,24,Female,Mumbai,Home & Kitchen,12125.95,3,2025-12-13,UPI,3,App,36377.85
CUST1489,Vikram Kapoor,29,Male,Delhi,Electronics,19478.09,1,2025-08-16,Credit Card,4,App,19478.09
CUST1517,Tanya Desai,20,Male,Delhi,Grocery,20964.71,1,2025-07-31,Cash On Delivery,4,Unknown,20964.71
CUST1186,Kavya Kapoor,64,Female,Chennai,Electronics,18683.24,2,2025-07-02,UPI,5,Unknown,37366.48
CUST1080,Vikram Bose,39,Unknown,Unknown,Toys,2627.84,2,2025-01-08,UPI,4,Unknown,5255.68
CUST1244,Aryan Verma,20,Female,Delhi,Toys,554.59,1,2025-03-22,Cash On Delivery,1,Website,554.59
CUST1087,Sanjay Joshi,54,Female,Chennai,Electronics,24451.92,3,2025-07-22,Credit Card,1,App,73355.76
CUST1050,Arjun Chopra,35,Male,Unknown,Clothing,11837.12,3,2025-04-10,Credit Card,4,Unknown,35511.36
CUST1420,Ishaan Chopra,42,Male,Mumbai,Sports,15689.28,2,2025-11-10,Net Banking,5,Unknown,31378.56
CUST1158,Ananya Joshi,50,Male,Pune,Home & Kitchen,11741.84,1,2025-08-19,UPI,2,Website,11741.84
CUST1355,Kavya Mehta,39,Male,Hyderabad,Toys,24916.28,1,2025-11-29,Debit Card,5,Website,24916.28
CUST1058,Aditya Singh,64,Female,Jaipur,Home & Kitchen,17311.64,3,2025-12-31,Cash On Delivery,1,Website,51934.92
CUST1238,Tanya Bose,62,Unknown,Mumbai,Sports,4274.64,1,2025-04-16,Credit Card,5,App,4274.64
CUST1502,Pooja Iyer,46,Male,Kolkata,Clothing,15016.74,3,2025-11-02,Credit Card,4,Unknown,45050.22
CUST1356,Meera Menon,57,Male,Bangalore,Beauty,9627.11,1,2025-02-28,Net Banking,4,Unknown,9627.11
CUST1527,Anjali Chopra,29,Male,Delhi,Sports,5576.9,3,2025-02-24,Net Banking,2,Website,16730.7
CUST1056,Ritika Singh,23,Female,Hyderabad,Toys,14310.76,3,2025-07-14,Credit Card,4,Referral,42932.28
CUST1553,Rahul Gupta,19,Female,Chennai,Grocery,17627.12,1,2025-10-20,Credit Card,4,Website,17627.12
CUST1467,Ishaan Bhat,57,Female,Pune,Toys,22206.53,2,2025-07-27,UPI,5,Website,44413.06
CUST1202,Vivaan Desai,20,Unknown,Bangalore,Electronics,19143.82,2,2025-03-12,Cash On Delivery,2,Unknown,38287.64
CUST1245,Kabir Reddy,59,Female,Unknown,Books,2469.5,1,2025-09-05,Credit Card,3,Website,2469.5
CUST1240,Sara Verma,35,Female,Unknown,Grocery,6354.48,3,2025-06-14,UPI,4,App,19063.44
CUST1001,Rahul Iyer,19,Female,Hyderabad,Grocery,18451.31,3,2025-07-10,UPI,1,Website,55353.93
CUST1524,Ritika Menon,26,Female,Delhi,Grocery,22415.64,3,2025-04-05,Net Banking,4,Unknown,67246.92
CUST1127,Sneha Iyer,50,Unknown,Mumbai,Electronics,16598.94,1,2025-11-13,UPI,3,App,16598.94
CUST1026,Pooja Patel,50,Female,Pune,Clothing,21999.87,1,2025-05-26,Cash On Delivery,4,Unknown,21999.87
CUST1350,Neha Mehta,53,Male,Mumbai,Books,5196.72,1,2025-08-15,Credit Card,4,Unknown,5196.72
CUST1175,Sara Nair,44,Female,Bangalore,Home & Kitchen,18934.39,1,2025-06-14,Credit Card,2,Unknown,18934.39
CUST1387,Tanya Mehta,44,Male,Delhi,Sports,16341.66,1,2025-05-14,UPI,5,App,16341.66
CUST1060,Aman Rao,37,Female,Mumbai,Home & Kitchen,7991.37,3,2025-10-02,UPI,4,App,23974.11
CUST1534,Dev Bhat,19,Male,Bengaluru,Beauty,19726.3,1,2025-07-27,Cash On Delivery,4,Website,19726.3
CUST1154,Pooja Rao,26,Male,Jaipur,Clothing,12638.94,1,2025-10-31,UPI,3,Unknown,12638.94
CUST1289,Arjun Menon,57,Female,Bengaluru,Sports,23569.69,1,2025-11-07,UPI,1,Website,23569.69
CUST1394,Aarav Gupta,23,Male,Mumbai,Beauty,8784.76,1,2025-05-22,Cash On Delivery,4,Website,8784.76
CUST1162,Vivaan Chopra,43,Male,Hyderabad,Beauty,13897.59,1,2025-07-17,Cash On Delivery,4,Referral,13897.59
CUST1491,Vivaan Bhat,42,Male,Bengaluru,Books,23318.58,3,2025-01-11,Credit Card,4,Website,69955.74
CUST1566,Nikhil Verma,60,Male,Delhi,Beauty,11293.46,1,2025-10-01,Debit Card,1,Website,11293.46
CUST1533,Aman Patel,26,Female,Bengaluru,Home & Kitchen,12307.43,1,2025-10-04,Net Banking,4,App,12307.43
CUST1352,Neha Rao,53,Female,Delhi,Books,290.28,2,2025-12-30,Credit Card,3,Referral,580.56
CUST1231,Sanjay Gupta,61,Male,Mumbai,Home & Kitchen,7738.69,1,2025-07-11,UPI,4,Website,7738.69
CUST1115,Karan Sharma,38,Unknown,Lucknow,Toys,20825.84,1,2025-02-15,Debit Card,4,Website,20825.84
CUST1297,Sara Gupta,23,Male,Kolkata,Beauty,21437.11,2,2025-08-23,UPI,2,Website,42874.22
CUST1579,Vivaan Reddy,38,Female,Delhi,Beauty,4208.22,1,2025-07-04,Credit Card,1,Referral,4208.22
CUST1507,Kabir Nair,48,Female,Jaipur,Sports,21106.69,1,2025-02-08,Net Banking,3,App,21106.69
CUST1587,Kavya Joshi,19,Female,Unknown,Books,23727.47,1,2025-06-30,Cash On Delivery,4,App,23727.47
CUST1330,Aditya Joshi,39,Male,Kolkata,Sports,24063.4,1,2025-07-17,Cash On Delivery,4,Unknown,24063.4
CUST1248,Meera Chopra,23,Male,Pune,Beauty,22042.58,1,2025-07-15,UPI,2,App,22042.58
CUST1466,Ishaan Patel,32,Female,Delhi,Electronics,23147.06,2,2025-04-24,Cash On Delivery,4,Website,46294.12
CUST1055,Aryan Bhat,63,Female,Delhi,Books,15455.42,2,2025-09-05,UPI,5,Referral,30910.84
CUST1468,Anjali Bose,56,Male,Bangalore,Electronics,13088.13,2,2025-08-22,Cash On Delivery,4,App,26176.26
CUST1460,Arjun Chopra,60,Male,Mumbai,Sports,13089.84,3,2025-11-10,Cash On Delivery,4,App,39269.52
CUST1386,Aryan Kulkarni,44,Female,Bengaluru,Electronics,14512.98,1,2025-09-24,UPI,4,Unknown,14512.98
CUST1307,Ritika Sharma,48,Female,Delhi,Electronics,5710.69,2,2025-06-06,Net Banking,4,Website,11421.38
CUST1211,Neha Singh,22,Male,Delhi,Sports,24227.68,1,2025-01-16,Net Banking,4,Website,24227.68
CUST1025,Kavya Mehta,33,Female,Delhi,Books,11512.03,1,2025-07-02,Cash On Delivery,2,Website,11512.03
CUST1385,Tanya Chopra,43,Unknown,Mumbai,Clothing,10723.41,1,2025-02-09,Debit Card,5,App,10723.41
CUST1526,Yash Verma,42,Male,Bengaluru,Books,23896.8,1,2025-04-02,Debit Card,4,App,23896.8
CUST1494,Priya Kulkarni,38,Female,Mumbai,Books,14415.96,1,2025-02-06,Credit Card,4,Website,14415.96
CUST1019,Karan Mehta,24,Female,Hyderabad,Toys,3633.53,1,2025-05-23,Cash On Delivery,2,Website,3633.53
CUST1388,Rohan Chopra,31,Male,Delhi,Toys,4591.18,2,2025-10-12,Net Banking,5,App,9182.36
CUST1337,Ritika Pillai,46,Male,Ahmedabad,Electronics,2700.69,2,2025-01-19,Credit Card,2,App,5401.38
CUST1088,Simran Pillai,36,Male,Delhi,Beauty,5592.26,1,2025-11-14,UPI,2,Unknown,5592.26
CUST1594,Dev Malhotra,64,Male,Delhi,Books,18944.13,1,2025-11-26,Credit Card,4,Unknown,18944.13
CUST1255,Neha Chopra,23,Male,Lucknow,Grocery,7045.07,1,2025-02-10,Cash On Delivery,3,App,7045.07
CUST1598,Aryan Iyer,42,Male,Unknown,Sports,11147.52,1,2025-01-17,Net Banking,3,Website,11147.52
CUST1346,Rahul Nair,50,Female,Bangalore,Beauty,17802.27,1,2025-06-30,Cash On Delivery,4,Unknown,17802.27
CUST1417,Rahul Kulkarni,37,Female,Jaipur,Home & Kitchen,20146.99,2,2025-06-07,UPI,5,App,40293.98
CUST1169,Yash Menon,48,Female,Delhi,Home & Kitchen,14088.04,3,2025-09-02,UPI,5,App,42264.12
CUST1219,Arjun Kapoor,65,Male,Delhi,Home & Kitchen,8248.27,1,2025-07-21,Debit Card,4,App,8248.27
CUST1052,Nikhil Rao,41,Male,Lucknow,Clothing,19478.13,1,2025-09-06,Credit Card,5,App,19478.13
CUST1450,Rohan Gupta,43,Female,Delhi,Grocery,19086.52,2,2025-10-14,Cash On Delivery,4,Unknown,38173.04
CUST1497,Aman Iyer,47,Female,Bangalore,Toys,11843.06,1,2025-03-15,Net Banking,5,Website,11843.06
CUST1187,Aditya Kulkarni,21,Female,Bengaluru,Books,10310.34,1,2025-03-11,UPI,5,Website,10310.34
CUST1565,Dev Reddy,28,Male,Bengaluru,Beauty,14426.95,2,2025-05-14,UPI,4,App,28853.9
CUST1194,Nikhil Malhotra,44,Male,Kolkata,Grocery,18897.24,2,2025-04-05,Net Banking,3,Website,37794.48
CUST1550,Ritika Patel,55,Unknown,Ahmedabad,Books,510.42,2,2025-07-05,Credit Card,4,App,1020.84
CUST1031,Vivaan Kapoor,41,Male,Hyderabad,Home & Kitchen,16723.3,1,2025-10-14,UPI,4,App,16723.3
CUST1067,Vivaan Singh,36,Female,Unknown,Toys,1918.82,1,2025-05-16,Cash On Delivery,4,Website,1918.82
